So,Vhex,Si_scale,Km_scale,c_scale,Fhex
0.00001,0.01370687,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00021192,0.27929232,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00041384,0.52545255,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00061576,0.75457701,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00081768,0.96862719,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0010196,1.1692674,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00122152,1.35787399,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00142343,1.53564447,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00162535,1.70359789,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00182727,1.8626156,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00202919,2.01343744,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00223111,2.15675474,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00243303,2.29312913,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00263495,2.42306462,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00283687,2.54699589,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00303879,2.66528686,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00324071,2.77827893,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00344263,2.88622308,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00364455,2.9892969,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00384646,3.08763905,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00404838,3.18127005,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0042503,3.2700765,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00445222,3.35382482,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00465414,3.43199767,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00485606,3.50374606,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00505798,3.56786565,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.0052599,3.6228952,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00546182,3.6677388,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00566374,3.70231588,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00586566,3.72789358,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00606758,3.74650264,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00626949,3.76010208,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00647141,3.770212,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00667333,3.77790265,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00687525,3.78389401,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00707717,3.78865368,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00727909,3.79251168,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00748101,3.7956985,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00768293,3.79836244,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00788485,3.80062441,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00808677,3.80256401,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00828869,3.80424478,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00849061,3.80571499,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00869253,3.80701146,0.1000000000,0.1000000000,0.3858300000,0.0000038282
0.00889444,3.80816328,0.1000000000,0.1000000000,0.3858300000,0.0000038282
