so,vhex
0.00001,0.03467592
0.00021192,0.70468305
0.00041384,1.32182359
0.00061576,1.89176116
0.00081768,2.41892017
0.0010196,2.90679267
0.00122152,3.35787229
0.00142343,3.77400294
0.00162535,4.15620357
0.00182727,4.5048393
0.00202919,4.81975733
0.00223111,5.10055723
0.00243303,5.34694732
0.00263495,5.55917963
0.00283687,5.73872786
0.00303879,5.88819912
0.00324071,6.01118801
0.00344263,6.11179387
0.00364455,6.19403485
0.00384646,6.26147281
0.00404838,6.31716447
0.0042503,6.36349195
0.00445222,6.4024159
0.00465414,6.43539789
0.00485606,6.46360546
0.00505798,6.48793125
0.0052599,6.50908353
0.00546182,6.52761819
0.00566374,6.54395827
0.00586566,6.55847239
0.00606758,6.57142525
0.00626949,6.58305924
0.00647141,6.59355913
0.00667333,6.60306734
0.00687525,6.61172387
0.00707717,6.61962842
0.00727909,6.62688463
0.00748101,6.63356469
0.00768293,6.63972437
0.00788485,6.64542751
0.00808677,6.65073227
0.00828869,6.65565868
0.00849061,6.66024938
0.00869253,6.66455057
0.00889444,6.66857639
0.00909636,6.67235862
0.00929828,6.6759193
0.0095002,6.67926778
0.00970212,6.68242927
0.00990404,6.68541773
0.01010596,6.68824677
0.01030788,6.69093092
0.0105098,6.6934763
0.01071172,6.69589393
0.01091364,6.69820175
0.01111556,6.70039966
0.01131747,6.70249092
0.01151939,6.7044868
0.01172131,6.70639973
0.01192323,6.70823246
0.01212515,6.70998507
0.01232707,6.71166089
0.01252899,6.71327336
0.01273091,6.7148208
0.01293283,6.71630406
0.01313475,6.71773658
0.01333667,6.71911232
0.01353859,6.72043519
0.01374051,6.72171104
0.01394242,6.72294563
0.01414434,6.72413549
0.01434626,6.72528188
0.01454818,6.72638892
0.0147501,6.72746175
0.01495202,6.72849968
0.01515394,6.72950012
0.01535586,6.73047289
0.01555778,6.73141565
0.0157597,6.73232394
0.01596162,6.73320873
0.01616354,6.73406781
0.01636545,6.73490205
0.01656737,6.73570809
0.01676929,6.73649588
0.01697121,6.7372605
0.01717313,6.73800089
0.01737505,6.73872173
0.01757697,6.73942559
0.01777889,6.7401094
0.01798081,6.74077222
0.01818273,6.74142012
0.01838465,6.7420526
0.01858657,6.74266636
0.01878848,6.74326682
0.0189904,6.74385274
0.01919232,6.74442311
0.01939424,6.74498289
0.01959616,6.74552497
0.01979808,6.74605204
0.02,6.7465746
